Team1Agent1,Team1Agent2,Team1Agent3,Team1Agent4,Team1Agent5,Team2Agent1,Team2Agent2,Team2Agent3,Team2Agent4,Team2Agent5,Map,Victory
yoru,astra,viper,jett,sova,skye,viper,sage,raze,brimstone,Bind,Team 1
killjoy,viper,sage,jett,sova,sova,viper,omen,jett,killjoy,Icebox,Team 1
killjoy,astra,jett,sova,viper,astra,jett,skye,sova,killjoy,Haven,Team 1
sage,jett,sova,viper,astra,jett,astra,killjoy,sova,skye,Ascent,Team 1
astra,jett,breach,killjoy,sova,reyna,breach,jett,skye,astra,Haven,Team 1
skye,jett,cypher,astra,sova,raze,skye,omen,sage,sova,Bind,Team 2
jett,cypher,astra,breach,viper,viper,astra,jett,skye,cypher,Split,Team 1
jett,astra,killjoy,sova,breach,killjoy,astra,sova,jett,kayo,Ascent,Team 1
jett,cypher,astra,skye,sova,sova,cypher,astra,jett,breach,Haven,Team 1
skye,raze,viper,sova,astra,astra,viper,jett,sova,kayo,Bind,Team 1
jett,killjoy,sova,astra,kayo,jett,cypher,astra,sova,kayo,Ascent,Team 1
jett,sova,cypher,skye,astra,jett,astra,sova,killjoy,skye,Ascent,Team 2
skye,jett,sova,viper,astra,skye,jett,killjoy,astra,sova,Haven,Team 2
astra,viper,raze,jett,skye,jett,sage,astra,sova,raze,Bind,Team 1
jett,raze,viper,sova,sage,viper,reyna,jett,killjoy,sova,Icebox,Team 1
jett,sova,kayo,astra,killjoy,sova,cypher,raze,astra,jett,Haven,Team 1
jett,astra,kayo,killjoy,sova,astra,jett,cypher,reyna,sova,Ascent,Team 1
sova,killjoy,jett,astra,skye,astra,sova,reyna,cypher,jett,Haven,Team 2
viper,astra,skye,sova,raze,jett,sova,viper,raze,astra,Bind,Team 1
killjoy,jett,sage,sova,astra,reyna,killjoy,sova,astra,sage,Ascent,Team 2
sova,skye,viper,raze,astra,skye,astra,raze,killjoy,viper,Bind,Team 1
jett,sova,viper,cypher,skye,jett,viper,killjoy,sova,skye,Breeze,Team 1
sova,jett,killjoy,viper,sage,viper,reyna,raze,sage,sova,Icebox,Team 2
jett,astra,killjoy,skye,sova,killjoy,skye,breach,raze,astra,Haven,Team 1
viper,raze,sova,skye,astra,jett,astra,raze,viper,sova,Bind,Team 1
reyna,viper,killjoy,sova,jett,reyna,sova,viper,killjoy,sage,Icebox,Team 2
killjoy,sova,sage,astra,jett,skye,killjoy,astra,jett,sova,Ascent,Team 1
sova,astra,jett,kayo,killjoy,reyna,astra,sova,sage,killjoy,Ascent,Team 2
jett,reyna,sova,killjoy,viper,reyna,jett,viper,sova,killjoy,Icebox,Team 2
killjoy,breach,jett,astra,sova,cypher,omen,sova,jett,sage,Haven,Team 1
skye,sova,raze,breach,astra,skye,astra,viper,sova,sage,Bind,Team 1
